query,name,license,slug,faces,verts,likes,views,author,url,staffpick
roomba,UFO Doodle,CC Attribution,?,54224,30422,489,21189,re1monsen,https://sketchfab.com/3d-models/none-d78d1fff4fdd450791726b3c93a02fdb,False
vacuum cleaner,"""Saturnas"" vacuum cleaner",CC Attribution,?,39454,23633,206,4707,Sergey.Khanin,https://sketchfab.com/3d-models/none-f233571565c5443185a8054a3579e456,False
vacuum cleaner,Art deco сoffee table,CC Attribution,?,2804,1396,201,3457,artius.vens,https://sketchfab.com/3d-models/none-8211bcb3924d44c39b2cb5ef5452b884,False
vacuum cleaner,Vacuum Cleaner,CC Attribution,?,4571,2532,137,9304,rescue3d,https://sketchfab.com/3d-models/none-ff52b849a1c84e7d89a9319977a6cdbc,False
vacuum cleaner,Vacuum Cleaner,CC Attribution,?,1708,892,117,3829,snowykov,https://sketchfab.com/3d-models/none-9043d7516953498ea001f74914e50db8,False
vacuum cleaner,Vacuum cleaner,CC Attribution,?,177914,90492,102,4087,annzep,https://sketchfab.com/3d-models/none-c7fe3bb62ddc42d0afec14551a821242,False
roomba,Doomba,CC Attribution,?,6928,3893,99,12228,TheOminousDuck,https://sketchfab.com/3d-models/none-4ad5546749f54041a382d6313cedc0fc,False
roomba,ULTRAKILL Mirage V2 and V1,CC Attribution-NonCommercial,?,53744,27994,89,8984,Gorgonych,https://sketchfab.com/3d-models/none-0335737c77914875ba8d99187e6ffb98,False
roomba,ULTRAKILL Mirage V1,CC Attribution-NonCommercial,?,27340,14200,85,11543,Gorgonych,https://sketchfab.com/3d-models/none-8c8f62c6edd64399a4076b85642c43e5,False
vacuum cleaner,Robot vacuum cleaner low poly,CC Attribution,?,4678,2413,84,9478,_moryak_,https://sketchfab.com/3d-models/none-7230d8d80e8b4a82b4a34a5e7926d0d3,False
vacuum cleaner,Vacuum cleaner,CC Attribution,?,116239,59530,81,6427,Annelida,https://sketchfab.com/3d-models/none-517f47880b1643abb2af70a169d16912,False
vacuum cleaner,XIAOMI Robot Vacuum X10+,CC Attribution,?,635509,320220,67,6815,eltayerkebulan,https://sketchfab.com/3d-models/none-47a9b14156cc4f48b2e9113b58c288ad,False
vacuum cleaner,Vacuumed Cleaner,CC Attribution,?,152169,77326,53,4519,Panda_..,https://sketchfab.com/3d-models/none-f5739f98cabd4a6fa15b795cb8fb7f42,False
vacuum cleaner,Vacuum Cleaner,CC Attribution,?,20585,11273,53,8581,kikumi,https://sketchfab.com/3d-models/none-bc4f9e3319ec4a2f8fc6d0b5aa99b4cb,False
vacuum cleaner,Vacuum Cleaner,CC Attribution,?,125019,64138,52,2115,topfrank2013,https://sketchfab.com/3d-models/none-7db9deabf64240c5af640cdcc306ceb5,False
henry hoover,Henry Vacuum,CC Attribution,?,14146,7663,51,5166,rhcreations,https://sketchfab.com/3d-models/none-bcce152afa354120a5a92813bf807f2e,False
vacuum cleaner,Mega Maid 5km From Spaceballs 1987,CC Attribution,?,78751,38816,48,3936,Binkley-Piratepants,https://sketchfab.com/3d-models/none-89b560195b9c408e8e2256e5e539d724,False
